date,freq,variable,value
1936-05-01,m,BBFW,165.0
1936-05-01,m,BLUU,68.0
1936-06-01,m,BBFW,193.0
1936-06-01,m,BLUU,84.0
1936-07-01,m,BBFW,87.0
1936-07-01,m,BLUU,71.0
1936-08-01,m,BBFW,78.0
1936-08-01,m,BLUU,74.0
1936-09-01,m,BBFW,167.0
1936-09-01,m,BLUU,109.0
1936-10-01,m,BBFW,148.0
1936-10-01,m,BLUU,102.0
1936-11-01,m,BBFW,146.0
1936-11-01,m,BLUU,116.0
1936-12-01,m,BBFW,195.0
1936-12-01,m,BLUU,76.0
1937-01-01,a,BBFW,3413.0
1937-01-01,m,BBFW,306.0
1937-01-01,m,BLUU,83.0
1937-02-01,m,BBFW,84.0
1937-02-01,m,BLUU,86.0
1937-03-01,m,BBFW,220.0
1937-03-01,m,BLUU,73.0
1937-04-01,m,BBFW,474.0
1937-04-01,m,BLUU,126.0
1937-05-01,m,BBFW,795.0
1937-05-01,m,BLUU,115.0
1937-06-01,m,BBFW,115.0
1937-06-01,m,BLUU,106.0
1937-07-01,m,BBFW,517.0
1937-07-01,m,BLUU,90.0
1937-08-01,m,BBFW,235.0
1937-08-01,m,BLUU,146.0
1937-09-01,m,BBFW,235.0
1937-09-01,m,BLUU,127.0
1937-10-01,m,BBFW,266.0
1937-10-01,m,BLUU,150.0
1937-11-01,m,BBFW,159.0
1937-11-01,m,BLUU,117.0
1937-12-01,m,BBFW,7.0
1937-12-01,m,BLUU,56.0
1938-01-01,a,BBFW,1334.0
1938-01-01,m,BBFW,103.0
1938-01-01,m,BLUU,72.0
1938-02-01,m,BBFW,133.0
1938-02-01,m,BLUU,95.0
1938-03-01,m,BBFW,116.0
1938-03-01,m,BLUU,98.0
1938-04-01,m,BBFW,150.0
1938-04-01,m,BLUU,104.0
1938-05-01,m,BBFW,187.0
1938-05-01,m,BLUU,100.0
1938-06-01,m,BBFW,177.0
1938-06-01,m,BLUU,92.0
1938-07-01,m,BBFW,85.0
1938-07-01,m,BLUU,63.0
1938-08-01,m,BBFW,82.0
1938-08-01,m,BLUU,89.0
1938-09-01,m,BBFW,89.0
1938-09-01,m,BLUU,73.0
1938-10-01,m,BBFW,91.0
1938-10-01,m,BLUU,75.0
1938-11-01,m,BBFW,87.0
1938-11-01,m,BLUU,94.0
1938-12-01,m,BBFW,34.0
1938-12-01,m,BLUU,41.0
1939-01-01,a,BBFW,1356.0
1939-01-01,m,BBFW,81.0
1939-01-01,m,BLUU,65.0
1939-02-01,m,BBFW,116.0
1939-02-01,m,BLUU,77.0
1939-03-01,m,BBFW,99.0
1939-03-01,m,BLUU,82.0
1939-04-01,m,BBFW,146.0
1939-04-01,m,BLUU,80.0
1939-05-01,m,BBFW,134.0
1939-05-01,m,BLUU,87.0
1939-06-01,m,BBFW,132.0
1939-06-01,m,BLUU,102.0
1939-07-01,m,BBFW,122.0
1939-07-01,m,BLUU,87.0
1939-08-01,m,BBFW,119.0
1939-08-01,m,BLUU,106.0
1939-09-01,m,BBFW,115.0
1939-09-01,m,BLUU,80.0
1939-10-01,m,BBFW,100.0
1939-10-01,m,BLUU,90.0
1939-11-01,m,BBFW,143.0
1939-11-01,m,BLUU,89.0
1939-12-01,m,BBFW,49.0
1939-12-01,m,BLUU,52.0
1940-01-01,a,BBFW,940.0
1940-01-01,m,BBFW,108.0
1940-01-01,m,BLUU,76.0
1940-02-01,m,BBFW,168.0
1940-02-01,m,BLUU,71.0
1940-03-01,m,BBFW,173.0
1940-03-01,m,BLUU,97.0
1940-04-01,m,BBFW,84.0
1940-04-01,m,BLUU,99.0
1940-05-01,m,BBFW,94.0
1940-05-01,m,BLUU,105.0
1940-06-01,m,BBFW,13.0
1940-06-01,m,BLUU,35.0
1940-07-01,m,BBFW,35.0
1940-07-01,m,BLUU,42.0
1940-08-01,m,BBFW,14.0
1940-08-01,m,BLUU,52.0
1940-09-01,m,BBFW,54.0
1940-09-01,m,BLUU,85.0
1940-10-01,m,BBFW,101.0
1940-10-01,m,BLUU,101.0
1940-11-01,m,BBFW,46.0
1940-11-01,m,BLUU,88.0
1940-12-01,m,BBFW,50.0
1940-12-01,m,BLUU,69.0
1941-01-01,a,BBFW,1079.0
1941-01-01,m,BBFW,24.0
1941-01-01,m,BLUU,74.0
1941-02-01,m,BBFW,23.0
1941-02-01,m,BLUU,68.0
1941-03-01,m,BBFW,284.0
1941-03-01,m,BLUU,129.0
1941-04-01,m,BBFW,198.0
1941-04-01,m,BLUU,117.0
1941-05-01,m,BBFW,65.0
1941-05-01,m,BLUU,124.0
1941-06-01,m,BBFW,97.0
1941-06-01,m,BLUU,94.0
1941-07-01,m,BBFW,31.0
1941-07-01,m,BLUU,65.0
1941-08-01,m,BBFW,39.0
1941-08-01,m,BLUU,98.0
1941-09-01,m,BBFW,94.0
1941-09-01,m,BLUU,148.0
1941-10-01,m,BBFW,104.0
1941-10-01,m,BLUU,156.0
1941-11-01,m,BBFW,75.0
1941-11-01,m,BLUU,124.0
1941-12-01,m,BBFW,45.0
1941-12-01,m,BLUU,79.0
1942-01-01,a,BBFW,1527.0
1942-01-01,m,BBFW,59.0
1942-01-01,m,BLUU,62.0
1942-02-01,m,BBFW,30.0
1942-02-01,m,BLUU,66.0
1942-03-01,m,BBFW,44.0
1942-03-01,m,BLUU,70.0
1942-04-01,m,BBFW,66.0
1942-04-01,m,BLUU,96.0
1942-05-01,m,BBFW,312.0
1942-05-01,m,BLUU,193.0
1942-06-01,m,BBFW,360.0
1942-06-01,m,BLUU,165.0
1942-07-01,m,BBFW,43.0
1942-07-01,m,BLUU,80.0
