geography_code,geography_name,age,gender,Claimant count,Population estimate,Claimants percentage
W07000070,Cynon Valley,Aged 16+,Total,1535.0,58130.0,2.640633063822467
W07000070,Cynon Valley,Aged 16-24,Total,365.0,7282.0,5.012359241966493
W07000071,Merthyr Tydfil and Rhymney,Aged 16+,Total,1685.0,62172.0,2.7102232516245257
W07000071,Merthyr Tydfil and Rhymney,Aged 16-24,Total,400.0,7652.0,5.2273915316257185
W07000072,Blaenau Gwent,Aged 16+,Total,1650.0,57814.0,2.8539800048431174
W07000072,Blaenau Gwent,Aged 16-24,Total,405.0,6792.0,5.9628975265017665
W07000073,Bridgend,Aged 16+,Total,1435.0,71157.0,2.016667369338224
W07000073,Bridgend,Aged 16-24,Total,315.0,8065.0,3.9057656540607564
W07000074,Ogmore,Aged 16+,Total,1420.0,64099.0,2.2153231719683615
W07000074,Ogmore,Aged 16-24,Total,335.0,7795.0,4.297626683771648
W07000075,Pontypridd,Aged 16+,Total,1240.0,68179.0,1.8187418413294416
W07000075,Pontypridd,Aged 16-24,Total,305.0,9760.0,3.125
W07000076,Caerphilly,Aged 16+,Total,1865.0,71828.0,2.5964804811494124
W07000076,Caerphilly,Aged 16-24,Total,480.0,8813.0,5.446499489390673
W07000077,Islwyn,Aged 16+,Total,1390.0,63102.0,2.2027827961078885
W07000077,Islwyn,Aged 16-24,Total,320.0,7788.0,4.108885464817668
W07000078,Vale of Glamorgan,Aged 16+,Total,2145.0,85601.0,2.50581184799243
W07000078,Vale of Glamorgan,Aged 16-24,Total,480.0,10042.0,4.779924317864967
W07000079,Cardiff West,Aged 16+,Total,2725.0,75174.0,3.624923510788305
W07000079,Cardiff West,Aged 16-24,Total,575.0,9430.0,6.097560975609756
W07000080,Cardiff South and Penarth,Aged 16+,Total,3920.0,95473.0,4.105872864579515
W07000080,Cardiff South and Penarth,Aged 16-24,Total,710.0,12712.0,5.585273757079925
