LOCATION,INDICATOR,SUBJECT,Subject,MEASURE,FREQUENCY,TIME_PERIOD,OBS_VALUE
AUS,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,11.827723
AUT,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,11.712417
AUT,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,10.825821
AUT,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,12.592641
BEL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,12.310569
BEL,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,14.208397
BEL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,16.13534
CAN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,14.504717
CAN,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,13.668851
CAN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,12.815885
COL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,33.909836
COL,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,23.805521
COL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,13.630266
CZE,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,18.195173
CZE,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,13.236864
CZE,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,8.5780954
DEU,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,13.770418
DEU,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,11.974542
DEU,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,10.246352
DNK,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,10.35443
DNK,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,11.944765
DNK,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,13.410405
ESP,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,23.645475
ESP,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,22.438612
ESP,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,24.803326
EST,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,19.136993
EST,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,20.192072
EST,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,18.121073
FIN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,12.893319
FIN,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,12.637969
FIN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,12.382413
FRA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,15.172208
FRA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,18.044867
FRA,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,16.61404
GBR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,13.634942
GBR,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,15.931578
GBR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,18.306295
GRC,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,22.988966
GRC,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,18.086546
GRC,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,13.225958
HUN,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,18.917772
HUN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,16.4923
HUN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,21.408007
IRL,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,20.792801
IRL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,22.138508
IRL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,19.465517
ISL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,11.524394
ISL,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,12.140234
ISL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,12.792201
ISR,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,27.796974
ISR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,29.467785
ISR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,26.169645
ITA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,26.104715
ITA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,19.958862
ITA,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,22.984301
JPN,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,11.961289
JPN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,15.277879
JPN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,8.7959909
LTU,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,14.840675
LTU,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,18.010651
LTU,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,21.021227
