LOCATION,INDICATOR,SUBJECT,Subject,MEASURE,FREQUENCY,TIME_PERIOD,OBS_VALUE
AUS,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,20.134134
AUS,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,12.018188
AUS,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,16.034595
BEL,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,15.246123
BEL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,19.248022
BEL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,11.374912
CAN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,14.126516
CAN,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,15.791224
CAN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,17.504215
CHE,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,7.7768726
CHE,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,12.71619
CHE,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,10.2391
CZE,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,15.538901
CZE,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,5.5303106
CZE,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,26.002886
DEU,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,14.311419
DEU,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,18.113207
DEU,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,10.771675
DNK,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,5.89746
DNK,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,3.6201091
DNK,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,8.3572369
ESP,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,27.250252
ESP,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,23.224657
ESP,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,19.228466
FRA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,13.910201
FRA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,21.587418
FRA,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,17.738672
GRC,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,21.778004
GRC,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,12.739367
GRC,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,30.015375
HUN,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,23.721262
HUN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,17.012569
HUN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,30.281176
LUX,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,11.179894
LUX,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,5.4343534
LUX,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,17.092356
MEX,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,42.648815
MEX,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,25.43222
MEX,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,6.5658636
NLD,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,7.8616352
NLD,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,4.8237476
NLD,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,11.004478
NOR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,12.271647
NOR,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,8.8461227
NOR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,5.5626225
POL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,24.622356
POL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,12.999495
POL,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,18.824123
PRT,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,10.376249
PRT,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,15.467625
PRT,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,12.875874
SVK,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,28.072933
SVK,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,22.587065
SVK,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,17.380278
SWE,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,11.89334
SWE,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,12.148489
SWE,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,12.023903
TUR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,1997,15.70008
TUR,NEET,15_29,15-29 year-olds,PC_AGE,A,1997,37.962936
TUR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,1997,58.907612
